entity_id,state,last_changed
sensor.energy_total_fronius_power_flow,25.9388921736,2025-05-15T12:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9388921736,2025-05-15T13:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9389339739,2025-05-15T20:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9392352592,2025-05-15T21:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9409367672,2025-05-15T22:00:00.000Z
sensor.energy_total_fronius_power_flow,25.942784975,2025-05-15T23:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9452148636,2025-05-16T00:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9484470717,2025-05-16T01:00:00.000Z
sensor.energy_total_fronius_power_flow,25.950574785,2025-05-16T02:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9531074944,2025-05-16T03:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9540137417,2025-05-16T04:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9542758711,2025-05-16T05:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9542818064,2025-05-16T06:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9542818064,2025-05-16T07:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9543468481,2025-05-16T20:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9546014425,2025-05-16T21:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9564282219,2025-05-16T22:00:00.000Z
sensor.energy_total_fronius_power_flow,25.958584405,2025-05-16T23:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9620253864,2025-05-17T00:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9656539617,2025-05-17T01:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9697465719,2025-05-17T02:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9721103194,2025-05-17T03:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9728524867,2025-05-17T04:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9730000522,2025-05-17T05:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9730042169,2025-05-17T06:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9730042169,2025-05-17T07:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9732635858,2025-05-17T21:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9738583156,2025-05-17T22:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9747259756,2025-05-17T23:00:00.000Z
sensor.energy_total_fronius_power_flow,25.97610091,2025-05-18T00:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9767863292,2025-05-18T01:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9774447769,2025-05-18T02:00:00.000Z
sensor.energy_total_fronius_power_flow,25.977736564399997,2025-05-18T03:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9782718208,2025-05-18T04:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9784322508,2025-05-18T05:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9784352625,2025-05-18T06:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9784352625,2025-05-18T07:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9784857633,2025-05-18T20:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9786930728,2025-05-18T21:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9799655069,2025-05-18T22:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9822768028,2025-05-18T23:00:00.000Z
sensor.energy_total_fronius_power_flow,25.986034415,2025-05-19T00:00:00.000Z
sensor.energy_total_fronius_power_flow,25.98997209,2025-05-19T01:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9943338533,2025-05-19T02:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9950277367,2025-05-19T03:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9958137692,2025-05-19T04:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9959453411,2025-05-19T05:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9959468103,2025-05-19T06:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9959468103,2025-05-19T07:00:00.000Z
sensor.energy_total_fronius_power_flow,25.9959474594,2025-05-19T19:30:07.143Z
sensor.energy_total_fronius_power_flow,25.9959512319,2025-05-19T19:35:17.130Z
sensor.energy_total_fronius_power_flow,25.99595604,2025-05-19T19:40:07.129Z
sensor.energy_total_fronius_power_flow,25.9959619533,2025-05-19T19:45:17.304Z
sensor.energy_total_fronius_power_flow,25.9959687186,2025-05-19T19:50:07.139Z
sensor.energy_total_fronius_power_flow,25.9959763811,2025-05-19T19:55:07.139Z
